message_length,time_interval,message_count_window,payload_entropy,response_time,decryption_errors,signature_errors,replay_flags,handshake_failures,message_type_variance,session_duration,sequential_errors,is_anomaly
951,0.6210664285755672,13,4.868811152364092,0.4107793851539723,0,0,0,0,0.6518295860598718,1723.2260341242197,0,0
103,1.7247863672195693,4,5.15063766795257,0.2734456662167001,0,0,0,0,0.8653897851286623,1574.0012208458315,0,0
699,4.1052880038489565,18,4.74020651295313,0.5744236578878894,0,0,0,0,0.9639091283627312,784.6661531459681,0,0
185,2.541513165304505,6,4.763293379272918,0.7792779700198876,0,0,0,0,0.9256163842407271,1722.504286598778,0,0
1843,2.06695213654871,6,4.23662162316823,0.7804944813016206,0,0,0,0,0.730295934892929,452.1484085805983,0,0
410,0.6138781245306624,3,4.034960248041174,0.12397203127978076,0,0,0,0,0.8889015953515687,318.52475365202423,0,0
2481,5.53900491270471,13,5.3167519904110705,1.0871686596486336,2,1,0,2,0.3508556996979777,326.357017991096,1,1
1508,4.055980050255728,4,4.374286150125592,0.3106652458400322,0,0,0,0,0.7761636181083278,1390.5290569670021,0,0
263,4.138199087612199,19,3.9839525685039567,0.22447485202584497,0,0,0,0,0.7672667196860596,1733.258602259385,0,0
945,2.7204780598440825,18,5.036010316629778,0.5090074822958146,0,0,0,0,0.6513164709548106,1576.7265073268534,0,0
293,4.4655279447200025,19,3.975401501444307,0.21124955952145152,0,0,0,0,0.8962879625638139,479.13285134918203,0,0
1671,2.673379976147873,19,4.001741072476493,0.2689084189656476,0,0,0,0,0.690246355922107,989.3315839302799,0,0
525,1.1941340347198537,3,4.205655524470019,0.17964102675818494,0,0,0,0,0.6842829339833115,926.365882560926,0,0
1801,3.3914878673869664,4,5.1212379992888515,0.2100369225235485,0,0,0,0,0.8898873246006551,128.6228329650906,0,0
927,1.9954637461805051,19,4.797659724284629,0.2581320468911865,0,0,0,0,0.8484955189285146,1778.5186286685343,0,0
742,1.6412865183564334,7,4.997398165119427,0.2965069575633503,0,0,0,0,0.668644510205814,1658.1860952647219,0,0
702,0.8637625359226613,14,4.052043147783368,0.20357966799496194,0,0,0,0,0.9554639942768349,1559.3432891891941,0,0
1578,1.8773357558038364,10,4.702787047594569,0.4059072112536134,0,0,0,0,0.728772372594425,465.45687390541417,0,0
1098,3.3220323311853166,13,4.669230450318591,0.6116118304518013,0,0,0,0,0.9725550052754767,57.76821517793803,0,0
1168,2.045969874714257,11,4.674712454061867,0.46469478206466996,0,0,0,0,0.6788143823112726,1043.9575098751782,0,0
998,4.872585683261565,20,4.412350968181325,0.41754780694400195,0,0,0,0,0.6754460816184567,741.3276679123298,0,0
1160,4.077181763730714,2,4.087176406974928,0.43828377807036345,0,0,0,0,0.788245255330011,1762.6012165575662,0,0
863,5.446133035524242,7,4.939464538079326,0.8976850739752948,1,1,0,0,0.6164467930340127,108.09553410189541,2,1
1402,1.7137852291204263,14,5.053626633356585,0.1693401434448321,0,0,0,0,0.962957510599782,692.8376248694691,0,0
233,2.1826602401622055,16,4.661614652408276,0.5253473850327489,0,0,0,0,0.8639381979880292,833.4560696582454,0,0
339,0.4366169958833387,34,4.191965584245205,0.39438698153759066,0,0,0,0,0.12820160137291756,138.56689088877215,0,1
642,3.5938601808101343,11,4.890667445041142,0.7912681679237075,0,0,0,0,0.9940951507466536,878.0234863629163,0,0
549,0.6642638623316638,39,4.963976543183781,0.4431582021898144,0,0,1,0,0.0526401699541301,268.6747384248291,0,1
809,4.966712660313081,17,3.8932260744499514,0.4392806753806082,0,0,0,0,0.9875157177622973,674.2933617960064,0,0
182,3.5163110245302653,16,5.067416609095589,0.6137202574085039,0,0,0,0,0.7605431006507393,364.66137525153334,0,0
362,4.742011772520948,13,4.260616676418346,0.293797160096145,0,0,0,0,0.7919936169199293,1136.3367695883112,0,0
199,0.5092732279098708,25,4.339857045346155,0.25986015850234656,0,0,1,0,0.1755487431306254,257.32091490146786,0,1
963,4.598420744110988,10,4.545592001083358,0.1251066083772433,0,0,0,0,0.6843618870644881,674.2070731332617,0,0
1731,1.97948256991245,14,3.89760836654302,0.4381400279924095,0,0,0,0,0.7147976260392579,1001.1056382890998,0,0
1453,1.0062771389899945,7,5.014340704587472,0.2612559261995581,0,0,0,0,0.8429349696691735,291.55176601714845,0,0
1871,1.1522441501423597,19,4.785081432782093,0.7998706503845467,0,5,0,0,0.8774965282792224,431.4810390240935,1,1
403,0.5403059274621449,34,3.9279149948374426,0.341258297759211,0,0,0,0,0.1913880634906447,225.68550458832888,0,1
1902,3.447033377762451,6,4.192762217576327,0.48018256128728787,0,0,0,0,0.9417255617810146,1289.1160456122466,0,0
211,0.07408069708646493,131,4.545551534526891,3.9123675690397834,1,1,0,4,0.19457905020962676,40.93849346075682,1,1
982,4.253463165082256,6,4.651571514194117,0.870999994251456,1,3,0,1,0.3043387761458037,97.38192740709746,2,1
664,1.9738795881016795,11,4.671166846780987,0.36442435258456374,0,0,0,0,0.8644593865659351,124.24444366932822,0,0
267,2.5161326998827445,10,5.050769491733087,0.25581884785096565,0,0,0,0,0.7629660990879323,1497.5331193851714,0,0
1139,0.9784081169270755,14,4.244267447029419,0.2923205309560254,0,0,0,0,0.7123933669757726,601.8442050570917,0,0
28063,2.977384703923687,13,7.653088969169159,1.0960503942554305,0,0,0,0,0.08887430993916984,294.5661072900438,0,1
1508,3.0591191448166826,7,4.795687295953933,0.5656118902119864,0,0,0,0,0.6478414928804951,56.476495118781685,0,0
1701,4.099918056024494,3,4.393404290184916,0.5647998079735002,0,0,0,0,0.8112358854017548,1615.1712472023482,0,0
346,3.4420284042417153,1,4.39472829711788,0.10629815420568141,0,0,0,0,0.979843741357116,1762.4098138398717,0,0
1441,4.907840842352744,18,4.726173440360217,0.693533512310022,0,0,0,0,0.989692409916545,1714.5551997175585,0,0
593,0.8957753833977049,2,4.8666861824456165,0.255451154150605,0,0,0,0,0.689803283108232,195.36500226059187,0,0
430,1.4036761388449825,21,4.4805395520264195,0.6997682316794257,2,0,0,2,0.592865599629602,177.893422207411,2,1
1246,0.928188044499285,17,4.263266871868302,0.1006028590663614,0,0,0,0,0.9192918413748361,550.353394615607,0,0
1592,3.399726486290373,3,5.049222339247307,0.19449980474789025,0,0,0,0,0.7146668316852329,466.4952000944993,0,0
1175,1.813203516324866,4,4.79079856129011,0.3172495537811925,0,0,0,0,0.8716749905423711,400.9532060446916,0,0
318,1.9538789174768456,11,4.202004188667776,0.6792996602589023,0,0,0,0,0.8809036691844034,1482.843878406264,0,0
391,0.947764852197597,16,5.086962927256766,0.14488727287948586,0,0,0,0,0.7877459247548972,410.92622607584036,0,0
277,1.657325292452002,14,4.70933012908812,0.7812846831807125,0,0,0,0,0.8348366815592219,1059.584719460438,0,0
1289,2.8902384576861198,17,4.48670555160364,0.5180082863724841,0,0,0,0,0.8190485277856376,1281.2259881696234,0,0
1639,3.4125850391041075,2,4.322222969378395,0.5500193494513662,0,0,0,0,0.6060537343103356,1562.7156646004046,0,0
962,2.34762309540248,15,4.4108559683614645,0.37169192831834863,0,0,0,0,0.9193523426233052,817.0795329128042,0,0
311,1.548656957876333,2,4.098070046398456,0.6175070678474672,0,0,0,0,0.9702504934238453,607.5650222171367,0,0
1195,3.833049759314508,7,4.913657855527655,0.3591309555965707,0,0,0,0,0.6648577005363507,481.1366506365312,0,0
1160,2.559106051386533,11,5.053744947319904,1.3231465620029383,1,0,0,2,0.6503754605358079,387.05553527356244,0,1
479,0.6378655855634329,22,3.9341700433005298,0.48682544100920216,0,0,1,0,0.1277643718711136,81.12977703841074,0,1
397,4.968338855460321,2,4.091596137282554,0.1141631715262475,0,0,0,0,0.7445688406239134,1517.1545948445685,0,0
1634,4.871943714593922,6,4.568359094388564,0.648968922813254,0,0,0,0,0.6553663004569611,824.6964649816532,0,0
47023,2.4021821891991313,5,7.456501986409734,0.6693161387226574,0,0,0,0,0.292394012029753,557.6326104617575,0,1
1789,0.5833225871206755,16,4.880580350179323,0.5899531188520221,0,0,0,0,0.7628962752294051,1426.3793586229815,0,0
